aid,aidtype,aidname,aiddesc,aidsrcid,aidsrcname,aidextid,aidmdate,cids,sids,geneids,aidcategories,protacxns,depcatg,pmids,rnai,dois,ecs,repacxns,annotation
1215347,100,Time dependent inhibition of CYP3A4 in human liver microsomes assessed as conversion of testosterone to 6beta-hydroxytestosterone at 0.01 to 100 uM preincubated for 60 mins followed by testosterone treatment measured after 10 mins by LC-MS/MS analysis in ,"Title: A refined cytochrome P540 IC&#xE2;&#x201A;&#x2026;&#xE2;&#x201A;&#x20AC; shift assay for reliably identifying CYP3A time-dependent inhibitors._|__|_Abstract: A refined cytochrome P450 (P450) enzyme IC&#x2085;&#x2080; shift assay for more accurately screening CYP3A time-dependent inhibitors (TDIs) is presented. In contrast to the regular IC&#x2085;&#x2080; shift assay, in which only one pair of P450 inhibition curves is generated, this modified method generates two pairs of inhibition curves; one pair",43,ChEMBL,1482921,20200624,"2520,3386,5035,12560,39186,392622,441074,5471349,6440498","103164872,103165728,103170049,103175312,103244854,103401109,103607227,103743925,104234145",1576,NULL,P08684,Curation Efforts|Research and Development,21393461,0,10.1124/dmd.111.038208,"1.14.14.1,1.14.14.55,1.14.14.56,1.14.14.73",P08684,NULL
1215348,100,Time dependent inhibition of CYP3A4 in human liver microsomes assessed as conversion of testosterone to 6beta-hydroxytestosterone at 0.01 to 100 uM preincubated for 60 mins followed by testosterone treatment measured after 10 mins by LC-MS/MS analysis,"Title: A refined cytochrome P540 IC&#xE2;&#x201A;&#x2026;&#xE2;&#x201A;&#x20AC; shift assay for reliably identifying CYP3A time-dependent inhibitors._|__|_Abstract: A refined cytochrome P450 (P450) enzyme IC&#x2085;&#x2080; shift assay for more accurately screening CYP3A time-dependent inhibitors (TDIs) is presented. In contrast to the regular IC&#x2085;&#x2080; shift assay, in which only one pair of P450 inhibition curves is generated, this modified method generates two pairs of inhibition curves; one pair",43,ChEMBL,1482922,20200624,"2520,3386,5035,12560,39186,392622,441074,5471349,6440498","103164872,103165728,103170049,103175312,103244854,103401109,103607227,103743925,104234145",1576,NULL,P08684,Curation Efforts|Research and Development,21393461,0,10.1124/dmd.111.038208,"1.14.14.1,1.14.14.55,1.14.14.56,1.14.14.73",P08684,NULL
1215349,100,Time dependent inhibition of CYP3A4 in human liver microsomes assessed as conversion of testosterone to 6beta-hydroxytestosterone at 0.01 to 100 uM preincubated for 60 mins followed by testosterone treatment measured after 10 mins by refined CYP450 IC50 s,"Title: A refined cytochrome P540 IC&#xE2;&#x201A;&#x2026;&#xE2;&#x201A;&#x20AC; shift assay for reliably identifying CYP3A time-dependent inhibitors._|__|_Abstract: A refined cytochrome P450 (P450) enzyme IC&#x2085;&#x2080; shift assay for more accurately screening CYP3A time-dependent inhibitors (TDIs) is presented. In contrast to the regular IC&#x2085;&#x2080; shift assay, in which only one pair of P450 inhibition curves is generated, this modified method generates two pairs of inhibition curves; one pair",43,ChEMBL,1482923,20200624,"2520,3386,5035,12560,39186,392622,441074,5471349,6440498","103164872,103165728,103170049,103175312,103244854,103401109,103607227,103743925,104234145",1576,NULL,P08684,Curation Efforts|Research and Development,21393461,0,10.1124/dmd.111.038208,"1.14.14.1,1.14.14.55,1.14.14.56,1.14.14.73",P08684,NULL
1215350,100,Time dependent inhibition of CYP3A4 in human liver microsomes assessed as conversion of testosterone to 6beta-hydroxytestosterone at 0.01 to 100 uM preincubated for 60 mins followed by testosterone treatment measured after 10 mins by refined CYP450 IC50 s,"Title: A refined cytochrome P540 IC&#xE2;&#x201A;&#x2026;&#xE2;&#x201A;&#x20AC; shift assay for reliably identifying CYP3A time-dependent inhibitors._|__|_Abstract: A refined cytochrome P450 (P450) enzyme IC&#x2085;&#x2080; shift assay for more accurately screening CYP3A time-dependent inhibitors (TDIs) is presented. In contrast to the regular IC&#x2085;&#x2080; shift assay, in which only one pair of P450 inhibition curves is generated, this modified method generates two pairs of inhibition curves; one pair",43,ChEMBL,1482924,20200624,"2520,3386,5035,12560,39186,392622,441074,5471349,6440498","103164872,103165728,103170049,103175312,103244854,103401109,103607227,103743925,104234145",1576,NULL,P08684,Curation Efforts|Research and Development,21393461,0,10.1124/dmd.111.038208,"1.14.14.1,1.14.14.55,1.14.14.56,1.14.14.73",P08684,NULL
71588,100,Second order rate constant for time-dependent inhibition (Kinact/Ki) of Escherichia coli gamma-glutamylcysteine synthetase at a concentration of 16.3 uM; No time dependent inhibition was observed,Second order rate constant for time-dependent inhibition (Kinact/Ki) of Escherichia coli gamma-glutamylcysteine synthetase at a concentration of 16.3 uM; No time dependent inhibition was observed,43,ChEMBL,68756,20180908,44281364,103760068,2729,NULL,P48506,Curation Efforts|Research and Development,NULL,0,NULL,6.3.2.2,P48506,NULL
1218817,2,Time dependent inhibition of CYP3A4 in human liver microsomes using midazolam as substrate preincubated for 30 mins followed by 10-fold dilution and substrate addition by LC-MS/MS analysis,"Title: Sequential metabolism of AMG 487, a novel CXCR3 antagonist, results in formation of quinone reactive metabolites that covalently modify CYP3A4 Cys239 and cause time-dependent inhibition of the enzyme._|__|_Abstract: CYP3A4-mediated biotransformation of (R)-N-(1-(3-(4-ethoxyphenyl)-4-oxo-3,4-dihydropyrido[2,3-d]pyrimidin-2-yl)ethyl)-N-(pyridin-3-ylmethyl)-2-(4-(trifluoromethoxy)phenyl)acetamide (AMG 487) was previously shown to generate an inhibitory metabolite linked to dose- and time-dependent pharm",43,ChEMBL,1488502,20200624,"39186,11757854,24957182","103164872,103524061,136940280",1576,NULL,P08684,Curation Efforts|Research and Development,22517972,0,10.1124/dmd.112.045708,"1.14.14.1,1.14.14.55,1.14.14.56,1.14.14.73",P08684,NULL
1218818,2,Time dependent inhibition of CYP3A4 in human liver microsomes using testosterone as substrate preincubated for 30 mins followed by 10-fold dilution and substrate addition by LC-MS/MS analysis,"Title: Sequential metabolism of AMG 487, a novel CXCR3 antagonist, results in formation of quinone reactive metabolites that covalently modify CYP3A4 Cys239 and cause time-dependent inhibition of the enzyme._|__|_Abstract: CYP3A4-mediated biotransformation of (R)-N-(1-(3-(4-ethoxyphenyl)-4-oxo-3,4-dihydropyrido[2,3-d]pyrimidin-2-yl)ethyl)-N-(pyridin-3-ylmethyl)-2-(4-(trifluoromethoxy)phenyl)acetamide (AMG 487) was previously shown to generate an inhibitory metabolite linked to dose- and time-dependent pharm",43,ChEMBL,1488503,20200624,"39186,11757854,24957182","103164872,103524061,136940280",1576,NULL,P08684,Curation Efforts|Research and Development,22517972,0,10.1124/dmd.112.045708,"1.14.14.1,1.14.14.55,1.14.14.56,1.14.14.73",P08684,NULL
1218819,2,Time dependent inhibition of CYP3A4 in human liver microsomes using midazolam as substrate preincubated for 90 mins followed by 10-fold dilution and substrate addition by LC-MS/MS analysis,"Title: Sequential metabolism of AMG 487, a novel CXCR3 antagonist, results in formation of quinone reactive metabolites that covalently modify CYP3A4 Cys239 and cause time-dependent inhibition of the enzyme._|__|_Abstract: CYP3A4-mediated biotransformation of (R)-N-(1-(3-(4-ethoxyphenyl)-4-oxo-3,4-dihydropyrido[2,3-d]pyrimidin-2-yl)ethyl)-N-(pyridin-3-ylmethyl)-2-(4-(trifluoromethoxy)phenyl)acetamide (AMG 487) was previously shown to generate an inhibitory metabolite linked to dose- and time-dependent pharm",43,ChEMBL,1488504,20200624,"39186,24957182","103164872,103524061",1576,NULL,P08684,Curation Efforts|Research and Development,22517972,0,10.1124/dmd.112.045708,"1.14.14.1,1.14.14.55,1.14.14.56,1.14.14.73",P08684,NULL
1218820,2,Time dependent inhibition of CYP3A4 in human liver microsomes using testosterone as substrate preincubated for 90 mins followed by 10-fold dilution and substrate addition by LC-MS/MS analysis,"Title: Sequential metabolism of AMG 487, a novel CXCR3 antagonist, results in formation of quinone reactive metabolites that covalently modify CYP3A4 Cys239 and cause time-dependent inhibition of the enzyme._|__|_Abstract: CYP3A4-mediated biotransformation of (R)-N-(1-(3-(4-ethoxyphenyl)-4-oxo-3,4-dihydropyrido[2,3-d]pyrimidin-2-yl)ethyl)-N-(pyridin-3-ylmethyl)-2-(4-(trifluoromethoxy)phenyl)acetamide (AMG 487) was previously shown to generate an inhibitory metabolite linked to dose- and time-dependent pharm",43,ChEMBL,1488505,20200624,"39186,24957182","103164872,103524061",1576,NULL,P08684,Curation Efforts|Research and Development,22517972,0,10.1124/dmd.112.045708,"1.14.14.1,1.14.14.55,1.14.14.56,1.14.14.73",P08684,NULL
1218821,2,Time dependent inhibition of CYP3A4 in human liver microsomes using midazolam as substrate preincubated for 30 mins followed by 10-fold dilution and substrate addition by LC-MS/MS analysis in presence of NADPH,"Title: Sequential metabolism of AMG 487, a novel CXCR3 antagonist, results in formation of quinone reactive metabolites that covalently modify CYP3A4 Cys239 and cause time-dependent inhibition of the enzyme._|__|_Abstract: CYP3A4-mediated biotransformation of (R)-N-(1-(3-(4-ethoxyphenyl)-4-oxo-3,4-dihydropyrido[2,3-d]pyrimidin-2-yl)ethyl)-N-(pyridin-3-ylmethyl)-2-(4-(trifluoromethoxy)phenyl)acetamide (AMG 487) was previously shown to generate an inhibitory metabolite linked to dose- and time-dependent pharm",43,ChEMBL,1488506,20200624,"39186,11757854,24957182","103164872,103524061,136940280",1576,NULL,P08684,Curation Efforts|Research and Development,22517972,0,10.1124/dmd.112.045708,"1.14.14.1,1.14.14.55,1.14.14.56,1.14.14.73",P08684,NULL
